t(s),joint,q_ref,qdot_ref,qddot_ref,q_fuzzy,q_hac,e_fuzzy,e_hac,ed_fuzzy,ed_hac,pwm_fuzzy,pwm_hac,delta_pwm,grav_fuzzy,grav_hac
0.0700,shoulder,-0.012250,-0.350000,-5.000000,-0.000110,-0.000422,-0.012140,-0.011828,-0.340412,-0.318883,-15.6516,-42.2404,26.5888,-0.0183,-0.0700
0.0700,elbow,0.012260,0.350000,5.000000,0.000147,0.000506,0.012112,0.011754,0.337620,0.312830,16.3184,41.8038,-25.4855,0.0094,0.0322
0.0700,wrist_angle,0.012250,0.350000,5.000000,0.000344,0.000833,0.011906,0.011417,0.320650,0.289335,24.0216,40.1237,-16.1021,0.0137,0.0333
0.0700,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0800,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0800,shoulder,-0.016000,-0.400000,-5.000000,-0.000206,-0.000733,-0.015794,-0.015267,-0.385195,-0.354804,-20.7570,-52.6596,31.9026,-0.0342,-0.1215
0.0800,elbow,0.016011,0.400000,5.000000,0.000271,0.000877,0.015740,0.015134,0.381093,0.346109,21.4652,51.9491,-30.4839,0.0173,0.0559
0.0800,wrist_angle,0.016000,0.400000,5.000000,0.000637,0.001439,0.015363,0.014561,0.354635,0.312586,32.4136,49.3053,-16.8917,0.0255,0.0576
0.0800,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0900,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0900,shoulder,-0.020250,-0.450000,-5.000000,-0.000354,-0.001185,-0.019896,-0.019065,-0.428277,-0.387253,-26.9045,-63.9442,37.0397,-0.0587,-0.1965
0.0900,elbow,0.020262,0.450000,5.000000,0.000460,0.001416,0.019802,0.018846,0.422507,0.375330,27.6172,62.8572,-35.2400,0.0293,0.0903
0.0900,wrist_angle,0.020250,0.450000,5.000000,0.001091,0.002314,0.019159,0.017936,0.383027,0.329717,42.9910,58.9136,-15.9226,0.0436,0.0925
0.0900,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1000,shoulder,-0.025000,-0.500000,-5.000000,-0.000572,-0.001813,-0.024428,-0.023187,-0.469309,-0.415940,-34.3223,-75.9979,41.6756,-0.0947,-0.3005
0.1000,elbow,0.025013,0.500000,5.000000,0.000735,0.002163,0.024278,0.022851,0.461461,0.400189,34.9884,74.4123,-39.4239,0.0469,0.1379
0.1000,wrist_angle,0.025000,0.500000,5.000000,0.001760,0.003516,0.023240,0.021484,0.404366,0.340442,56.2180,68.7783,-12.5603,0.0704,0.1407
0.1000,wrist_rotate,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1100,waist,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1100,shoulder,-0.030250,-0.550000,-5.000000,-0.000878,-0.002653,-0.029372,-0.027597,-0.507870,-0.440612,-43.3508,-88.7180,45.3672,-0.1456,-0.4398
