t,phase,ref,pos,vel,e,u
0.000049,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.010583,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.021118,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.031326,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.041809,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.052041,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.062620,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.072955,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.083447,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.093687,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.104194,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.114517,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.125244,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.135516,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.146035,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.156228,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.166695,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.177005,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.187534,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.197882,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.208521,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.218802,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.229212,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.239465,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.249988,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.260279,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.270782,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.281091,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.291641,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.301910,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.312425,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.322724,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.333243,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.343495,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.354033,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.364313,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.374954,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.385214,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.395724,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.405989,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.416494,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.426796,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.437326,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.447548,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.458138,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.468397,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.478834,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.489021,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.499479,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.509702,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.520493,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.530720,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.541281,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.551520,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.562067,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.572280,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.582741,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.592950,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.603390,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.613621,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.624150,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.634407,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.644883,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.655069,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.665561,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.675873,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.686382,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.696612,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.707051,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.717232,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.727731,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.737987,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.748482,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.758781,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.769387,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.779633,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.790258,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.800506,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.811016,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.821239,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.831814,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.842127,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.852750,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.863000,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.873693,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.883966,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.894506,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.904744,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
0.915292,HOLD,1.469554,1.469554,0.000000,0.000000,0.000005
